_id,N_DEPARTAMENTO,N_TURNO,N_NIVEL,CANT_BENEF
1,RIO CUARTO,MA헤NA,SECUNDARIO,1714
2,CRUZ DEL EJE,MA헤NA,INICIAL,721
3,TERCERO ARRIBA,MA헤NA,SECUNDARIO,1296
4,COLON,TARDE,PRIMARIO,4316
5,MARCOS JUAREZ,MA헤NA,PRIMARIO,1448
6,UNION,MA헤NA,SECUNDARIO,1860
7,TERCERO ARRIBA,MA헤NA,PRIMARIO,1931
8,GENERAL ROCA,MA헤NA,INICIAL,285
9,RIO SECO,TARDE,INICIAL,127
10,JUAREZ CELMAN,TARDE,PRIMARIO,637
11,PUNILLA,TARDE,SECUNDARIO,1753
12,TOTORAL,MA헤NA,INICIAL,166
13,SANTA MARIA,MA헤NA,SECUNDARIO,1471
14,CALAMUCHITA,MA헤NA,SECUNDARIO,1228
15,SAN JAVIER,TARDE,INICIAL,387
16,RIO SEGUNDO,TARDE,INICIAL,303
17,PUNILLA,MA헤NA,INICIAL,1296
18,RIO PRIMERO,TARDE,SECUNDARIO,456
19,RIO CUARTO,NOCHE,SECUNDARIO,1
20,TULUMBA,MA헤NA,PRIMARIO,821
21,MINAS,MA헤NA,SECUNDARIO,316
22,TOTORAL,TARDE,SECUNDARIO,289
23,MARCOS JUAREZ,NOCHE,SECUNDARIO,7
24,TULUMBA,TARDE,PRIMARIO,115
25,SOBREMONTE,TARDE,PRIMARIO,75
26,TULUMBA,MA헤NA,SECUNDARIO,579
27,SOBREMONTE,MA헤NA,SECUNDARIO,215
28,MINAS,MA헤NA,PRIMARIO,227
29,SOBREMONTE,TARDE,INICIAL,26
30,UNION,MA헤NA,INICIAL,566
31,CAPITAL,TARDE,SECUNDARIO,9514
32,SAN JUSTO,TARDE,INICIAL,364
33,SAN JUSTO,MA헤NA,INICIAL,665
34,RIO CUARTO,TARDE,INICIAL,694
35,PTE. ROQUE SAENZ PE헤,MA헤NA,PRIMARIO,658
36,PUNILLA,TARDE,PRIMARIO,2816
37,CALAMUCHITA,TARDE,SECUNDARIO,465
38,SANTA MARIA,MA헤NA,INICIAL,909
39,SANTA MARIA,TARDE,INICIAL,614
40,MARCOS JUAREZ,TARDE,SECUNDARIO,176
41,GENERAL ROCA,MA헤NA,SECUNDARIO,660
